,time,latitude,longitude,2m_temperature,diff
7151,1990-10-25 23:00:00,40.25,271.75,279.26688,-3.2625122
7155,1990-10-26 03:00:00,40.25,271.75,274.27847,-2.5677185
7157,1990-10-26 05:00:00,40.25,271.75,272.4715,-2.5717163
7174,1990-10-26 22:00:00,40.25,271.75,281.78693,-2.8405762
7175,1990-10-26 23:00:00,40.25,271.75,280.87103,-3.0535889
7198,1990-10-27 22:00:00,40.25,271.75,285.7862,-4.316925
7199,1990-10-27 23:00:00,40.25,271.75,285.1911,-3.3730164
7209,1990-10-28 09:00:00,40.25,271.75,275.92648,-2.7282104
7210,1990-10-28 10:00:00,40.25,271.75,274.03137,-4.0436096
7211,1990-10-28 11:00:00,40.25,271.75,273.98438,-3.4924316
7222,1990-10-28 22:00:00,40.25,271.75,279.57736,-3.6670532
7223,1990-10-28 23:00:00,40.25,271.75,278.20377,-4.3345337
7270,1990-10-30 22:00:00,40.25,271.75,290.1952,-3.7555847
7294,1990-10-31 22:00:00,40.25,271.75,290.65625,-4.130493
7366,1990-11-03 22:00:00,40.25,271.75,291.25012,-2.86911
7377,1990-11-04 09:00:00,40.25,271.75,286.08783,-2.692566
7378,1990-11-04 10:00:00,40.25,271.75,285.0253,-3.0538025
7379,1990-11-04 11:00:00,40.25,271.75,284.02536,-3.8814392
7380,1990-11-04 12:00:00,40.25,271.75,283.56125,-3.2905579
7386,1990-11-04 18:00:00,40.25,271.75,284.58258,-2.7647095
7407,1990-11-05 15:00:00,40.25,271.75,279.7865,-4.414276
7424,1990-11-06 08:00:00,40.25,271.75,274.77136,-2.5517883
7462,1990-11-07 22:00:00,40.25,271.75,273.7504,-3.9112854
7463,1990-11-07 23:00:00,40.25,271.75,273.26392,-3.7489624
7473,1990-11-08 09:00:00,40.25,271.75,267.0284,-2.9613647
7474,1990-11-08 10:00:00,40.25,271.75,266.91486,-2.5178223
7534,1990-11-10 22:00:00,40.25,271.75,282.20395,-3.2548828
7535,1990-11-10 23:00:00,40.25,271.75,281.79172,-2.5086975
7558,1990-11-11 22:00:00,40.25,271.75,283.044,-3.0440063
7582,1990-11-12 22:00:00,40.25,271.75,278.67114,-3.35672
7583,1990-11-12 23:00:00,40.25,271.75,278.14688,-2.6623535
7606,1990-11-13 22:00:00,40.25,271.75,279.8291,-3.6021423
7630,1990-11-14 22:00:00,40.25,271.75,288.82654,-2.494049
7654,1990-11-15 22:00:00,40.25,271.75,290.21387,-3.1013794
7678,1990-11-16 22:00:00,40.25,271.75,282.21603,-4.170166
7679,1990-11-16 23:00:00,40.25,271.75,281.9277,-3.2879944
7682,1990-11-17 02:00:00,40.25,271.75,279.9074,-2.547058
